Sport,Event,Gender,Athlete,Medal,Year
Athletics,"3,000 metres Steeplechase",Men,Donn Cabral,None,2012
Athletics,"3,000 metres Steeplechase",Men,Kyle Alcorn,None,2012
Athletics,4 × 100 metres Relay,Men,Trell Kimmons•Justin Gatlin•Tyson Gay•Ryan Bailey•Jeff Demps•Darvis Patton,None,2012
Athletics,4 × 400 metres Relay,Men,Bryshon Nellum•Josh Mance•Tony McQuay•Angelo Taylor•Manteo Mitchell,None,2012
Athletics,20 kilometres Race Walk,Men,Trevor Barron,None,2012
Athletics,50 kilometres Race Walk,Men,John Nunn,None,2012
Athletics,High Jump,Men,Erik Kynard,Gold,2012
Athletics,High Jump,Men,Jamie Nieto,None,2012
Athletics,High Jump,Men,Jesse Williams,None,2012
Athletics,Pole Vault,Men,Brad Walker,None,2012
Athletics,Pole Vault,Men,Jeremy Scott,None,2012
Athletics,Pole Vault,Men,Derek Miles,None,2012
Athletics,Long Jump,Men,Will Claye,Bronze,2012
Athletics,Long Jump,Men,Marquise Goodwin,None,2012
Athletics,Long Jump,Men,George Kitchens,None,2012
Athletics,Triple Jump,Men,Christian Taylor,Gold,2012
Athletics,Triple Jump,Men,Will Claye,Silver,2012
Athletics,Shot Put,Men,Reese Hoffa,Bronze,2012
Athletics,Shot Put,Men,Christian Cantwell,None,2012
Athletics,Shot Put,Men,Ryan Whiting,None,2012
Athletics,Discus Throw,Men,Jason Young,None,2012
Athletics,Discus Throw,Men,Lance Brooks,None,2012
Athletics,Discus Throw,Men,Jarred Rome,None,2012
Athletics,Hammer Throw,Men,Kibwé Johnson,None,2012
Athletics,Hammer Throw,Men,A. G. Kruger,None,2012
Athletics,Javelin Throw,Men,Craig Kinsley,None,2012
Athletics,Javelin Throw,Men,Cyrus Hostetler,None,2012
Athletics,Javelin Throw,Men,Sean Furey,None,2012
Athletics,Decathlon,Men,Ashton Eaton,Gold,2012
Athletics,Decathlon,Men,Trey Hardee,Silver,2012
Athletics,100 metres,Women,Carmelita Jeter,Silver,2012
Athletics,100 metres,Women,Tianna Madison,None,2012
Athletics,100 metres,Women,Allyson Felix,None,2012
Athletics,200 metres,Women,Allyson Felix,Gold,2012
Athletics,200 metres,Women,Carmelita Jeter,Bronze,2012
Athletics,200 metres,Women,Sanya Richards-Ross,None,2012
Athletics,400 metres,Women,Sanya Richards-Ross,Gold,2012
Athletics,400 metres,Women,DeeDee Trotter,Bronze,2012
Athletics,400 metres,Women,Francena McCorory,None,2012
Athletics,800 metres,Women,Alysia Johnson-Montaño,None,2012
Athletics,800 metres,Women,Alice Schmidt,None,2012
Athletics,800 metres,Women,Geena Gall,None,2012
Athletics,"1,500 metres",Women,Shannon Rowbury,None,2012
Athletics,"1,500 metres",Women,Morgan Uceny,None,2012
Athletics,"1,500 metres",Women,Jenny Simpson,None,2012
Athletics,"5,000 metres",Women,Molly Huddle,None,2012
Athletics,"5,000 metres",Women,Julie Culley,None,2012
Athletics,"5,000 metres",Women,Kim Conley,None,2012
Athletics,"10,000 metres",Women,Amy Hastings,None,2012
Athletics,"10,000 metres",Women,Janet Cherobon-Bawcom,None,2012
Athletics,"10,000 metres",Women,Lisa Uhl,None,2012
Athletics,Marathon,Women,Shalane Flanagan,None,2012
Athletics,Marathon,Women,Kara Goucher,None,2012
Athletics,Marathon,Women,Des Davila,None,2012
Athletics,100 metres Hurdles,Women,Dawn Harper,Silver,2012
Athletics,100 metres Hurdles,Women,Kellie Wells,Bronze,2012
Athletics,100 metres Hurdles,Women,Lolo Jones,None,2012
Athletics,400 metres Hurdles,Women,Lashinda Demus,Gold,2012
Athletics,400 metres Hurdles,Women,Georganne Moline,None,2012
Athletics,400 metres Hurdles,Women,T'erea Brown,None,2012
Athletics,"3,000 metres Steeplechase",Women,Emma Coburn,None,2012
Athletics,"3,000 metres Steeplechase",Women,Bridget Franek,None,2012
Athletics,"3,000 metres Steeplechase",Women,Shalaya Kipp,None,2012
Athletics,4 × 100 metres Relay,Women,Tianna Madison•Allyson Felix•Bianca Knight•Carmelita Jeter•Jeneba Tarmoh•Lauryn Williams,None,2012
Athletics,4 × 400 metres Relay,Women,DeeDee Trotter•Allyson Felix•Francena McCorory•Sanya Richards-Ross•Keshia Baker•Diamond Dixon,None,2012
Athletics,20 kilometres Race Walk,Women,Maria Michta,None,2012
Athletics,High Jump,Women,Brigetta Barrett,Silver,2012
Athletics,High Jump,Women,Chaunté Lowe,None,2012
Athletics,High Jump,Women,Amy Acuff,None,2012
Athletics,Pole Vault,Women,Jenn Suhr,Gold,2012
Athletics,Pole Vault,Women,Becky Holliday,None,2012
Athletics,Pole Vault,Women,Lacy Janson,None,2012
Athletics,Long Jump,Women,Brittney Reese,Gold,2012
Athletics,Long Jump,Women,Janay DeLoach,Bronze,2012
Athletics,Long Jump,Women,Chelsea Hayes,None,2012
Athletics,Triple Jump,Women,Amanda Smock,None,2012
Athletics,Shot Put,Women,Michelle Carter,None,2012
Athletics,Shot Put,Women,Jill Camarena-Williams,None,2012
Athletics,Shot Put,Women,Tia Brooks,None,2012
Athletics,Discus Throw,Women,Stephanie Brown-Trafton,None,2012
Athletics,Discus Throw,Women,Gia Lewis-Smallwood,None,2012
Athletics,Discus Throw,Women,Aretha Thurmond,None,2012
Athletics,Hammer Throw,Women,Amber Campbell,None,2012
Athletics,Hammer Throw,Women,Jessica Cosby,None,2012
Athletics,Hammer Throw,Women,Amanda Bingson,None,2012
Athletics,Javelin Throw,Women,Brittany Borman,None,2012
Athletics,Javelin Throw,Women,Rachel Yurkovich,None,2012
Athletics,Javelin Throw,Women,Kara Patterson,None,2012
Athletics,Heptathlon,Women,Sharon Day,None,2012
Athletics,Heptathlon,Women,Chantae McMillan,None,2012
Athletics,Heptathlon,Women,Hyleas Fountain,None,2012
Badminton,Doubles,Men,Howard Bach•Tony Gunawan,None,2012
Badminton,Singles,Women,Rena Wang,None,2012
Basketball,Basketball,Men,Tyson Chandler•Kevin Durant•LeBron James•Russell Westbrook•Deron Williams•Andre Iguodala•Kobe Bryant•Kevin Love•James Harden•Chris Paul•Anthony Davis•Carmelo Anthony,None,2012
Basketball,Basketball,Women,Lindsay Whalen•Seimone Augustus•Sue Bird•Maya Moore•Angel McCoughtry•Asjha Jones•Tamika Catchings•Swin Cash•Diana Taurasi•Sylvia Fowles•Tina Charles•Candace Parker,None,2012
Beach Volleyball,Beach Volleyball,Men,Jake Gibb•Sean Rosenthal,None,2012
Beach Volleyball,Beach Volleyball,Men,Todd Rogers•Phil Dalhausser,None,2012
Beach Volleyball,Beach Volleyball,Women,Kerri Walsh Jennings•Misty May-Treanor,Silver,2012
Beach Volleyball,Beach Volleyball,Women,April Ross•Jen Kessy,None,2012
Boxing,Flyweight,Men,Rau'Shee Warren,None,2012
Boxing,Bantamweight,Men,"Joseph Diaz, Jr.",None,2012
Boxing,Lightweight,Men,Jose Ramirez,None,2012
Boxing,Light-Welterweight,Men,Jamel Herring,None,2012
Boxing,Welterweight,Men,Errol Spence,None,2012
Boxing,Middleweight,Men,Terrell Gausha,None,2012
Boxing,Light-Heavyweight,Men,Marcus Browne,None,2012
Boxing,Heavyweight,Men,Michael Hunter,None,2012
Boxing,Super-Heavyweight,Men,Dominic Breazeale,None,2012
Boxing,Flyweight,Women,Marlen Esparza,Bronze,2012
Boxing,Lightweight,Women,Queen Underwood,None,2012
Boxing,Middleweight,Women,Claressa Shields,Gold,2012
Canoe Slalom,"Kayak Singles, Slalom",Men,Scott Parsons,None,2012
Canoe Slalom,"Canadian Singles, Slalom",Men,Casey Eichfeld,None,2012
Canoe Slalom,"Canadian Doubles, Slalom",Men,Eric Hurd•Jeff Larimer,None,2012
Canoe Slalom,"Kayak Singles, Slalom",Women,Caroline Queen,None,2012
Canoe Sprint,"Kayak Singles, 200 metres",Men,Tim Hornsby,None,2012
Canoe Sprint,"Kayak Singles, 200 metres",Women,Carrie Johnson,None,2012
Canoe Sprint,"Kayak Singles, 500 metres",Women,Carrie Johnson,None,2012
Cycling BMX Racing,BMX,Men,Connor Fields,None,2012
